date,title,shortopening,url,is_personal
2025/9/24,How Zelensky__ Charm Offensive Reversed Trump__ Skepticism on Ukraine,The change in tone by the U.S. president reflects how the Ukrainian leader has learned from his acrimonious meeting in February.,https://www.wsj.com/world/how-zelenskys-charm-offensive-reversed-trumps-skepticism-on-ukraine-3818cab4,TRUE
2022/2/25,Ukraine__ Leader Zelensky Is __arget Number One_ for Putin,"Russia__ invasion of Ukraine aims to overthrow the leadership in Kyiv, but President Volodymyr Zelensky remains defiant.",https://www.wsj.com/world/europe/once-a-comic-ukrainian-president-transforms-into-wartime-leader-11645794378,TRUE
2025/3/10,Zelensky__ High-Wire Act: Satisfying Ukrainians__nd Trump,"President Trump wants a quick peace deal, but Ukrainians resist capitulation to Russia__ demands.",https://www.wsj.com/world/zelenskys-high-wire-act-satisfying-ukrainiansand-trump-7208e461,TRUE
2023/2/22,Ukraine__ Zelensky Is Challenged by Return of Domestic Political Troubles,"Ukraine__ president faces government corruption allegations, political competition and questions about Western aid.",https://www.wsj.com/articles/zelensky-ukraine-president-corruption-allegations-a874bff0,TRUE
2024/2/12,Zelensky__ Military Shake-Up Ties Him to Battlefield Performance,The decision to replace Ukraine__ popular top general comes as the army is struggling to hold back Russian forces.,https://www.wsj.com/world/zelenskys-military-shake-up-ties-him-to-battlefield-performance-8c94399d,TRUE
2024/2/5,"Ukraine__ Zelensky, Facing Rising Challenges, Touts Leadership Overhaul",The Ukrainian president is considering a leadership shuffle aimed at reinvigorating efforts to combat Russia__ invasion.,https://www.wsj.com/world/europe/ukraines-zelensky-facing-rising-challenges-touts-leadership-overhaul-db96ab08,TRUE
2025/5/3,Face-to-Face at the Vatican: How Trump and Zelensky Made Up,"The Ukrainian president__ showmanship helped rally the world against the Russian invasion, but it has grated on President Trump.",https://www.wsj.com/world/europe/face-to-face-at-the-vatican-how-trump-and-zelensky-made-up-344cb932,TRUE
2023/9/24,Zelensky__ Blunt Talk Wins Support but Also Irks Friends,"Ukraine__ president, a novice politician, has defied expectations with his diplomatic savvy, though he has repeatedly overstepped.",https://www.wsj.com/world/europe/zelenskys-blunt-talk-wins-support-but-also-irks-friends-1c8c2553,TRUE
2022/5/12,Who Is Volodymyr Zelensky? What to Know About Ukraine__ President,The former actor and comedian now leads his country__ resistance to Russia__ invasion.,https://www.wsj.com/world/europe/who-is-volodymyr-zelensky-ukrainian-president-11646161781,TRUE
2024/6/26,Zelensky__ Formidable Task: Keeping the West and His Citizens On Board,The Ukrainian president has maintained support at home and in Europe despite a shortage of troops and tensions with the U.S.,https://www.wsj.com/world/europe/zelenskys-formidable-task-keeping-the-west-and-his-citizens-on-board-694df7dd,TRUE
2022/2/8,"Ukraine__ Zelensky Wants to Fend Off Russia__nd America, Too",The comic-turned-president is trying to navigate ambitions of both Moscow and Washington.,https://www.wsj.com/world/europe/ukraine-russia-invasion-zelensky-biden-11644334948,TRUE
2022/7/22,Zelensky Says No Cease-Fire Until Russia Returns Land,Zelensky acknowledged the cost exacted by Russia__ invasion and praised allies for supporting Ukraine.,https://www.wsj.com/world/europe/ukraines-zelensky-says-a-cease-fire-with-russia-without-reclaiming-lost-lands-will-only-prolong-war-11658510019,TRUE
2023/4/5,Zelensky Visits Poland as Ukraine Pursues Support for Offensive,Zelensky's visit came amid diplomacy aimed at expediting an outcome to the war.,https://www.wsj.com/articles/russia-strengthens-defenses-in-occupied-ukraine-as-zelensky-visits-poland-62f32f22,TRUE
2025/3/1,"Zelensky, Who Stood Up to Putin, Now Refuses to Bow to Trump",Past experiences with Trump stiffened Zelensky__ resolve not to be treated like a pawn.,https://www.wsj.com/world/europe/zelensky-ukraine-president-future-a454d1bc,TRUE
2025/3/2,Zelensky__ Path Back to White House Would Confront Big Hurdles,The U.S. president__ strained affairs with the Ukrainian leader stretch back to a single phone call in 2019.,https://www.wsj.com/politics/policy/trumps-strained-affairs-with-zelensky-stretch-back-to-a-single-phone-call-25dab7ad,TRUE
2025/2/23,Ukraine__ Zelensky Wants Better Terms on Minerals Deal Demanded by Trump,The Ukrainian president called for security guarantees and better financial terms.,https://www.wsj.com/world/ukraines-zelensky-wants-better-terms-on-minerals-deal-demanded-by-trump-7d3a092f,TRUE
2024/9/24,Zelensky Appeals for More Pressure on Russia in U.N. Speech,Ukraine__ president lobbies for greater support against Russia__ invasion.,https://www.wsj.com/world/zelensky-appeals-for-more-pressure-on-russia-in-u-n-speech-014d4c97,TRUE
2024/1/31,"Tensions Between Zelensky, Top General Spark Worry in the West and on the Front Line",Speculation rises that the president may dismiss his popular armed forces chief.,https://www.wsj.com/world/europe/tensions-between-zelensky-top-general-spark-worry-in-the-west-and-on-the-frontline-09ec7ad0,TRUE
2023/10/5,Zelensky Asks Europe for More Help as Missile Strike Kills 50,Investigators searched wreckage of a destroyed grocery store; early evidence points to a Russian Iskander missile.,https://www.wsj.com/world/europe/zelensky-asks-europe-for-more-help-as-missile-strike-kills-50-3c76d15f,TRUE
2024/5/7,Ukraine Says It Foiled Russian Plot to Assassinate Zelensky,Security Service said missiles and drones were planned to strike the president__ convoy.,https://www.wsj.com/world/europe/ukraine-says-it-foiled-russian-plot-to-assassinate-zelensky-e9b01469,TRUE
2022/3/16,"Ukraine__ Zelensky Invokes 9/11, Pearl Harbor in Plea to Lawmakers for More Weapons",Zelensky urged Congress to send more military assistance during a virtual address.,https://www.wsj.com/politics/policy/ukraines-zelensky-to-address-u-s-lawmakers-eager-to-help-military-needs-11647423001,TRUE
2024/7/10,"As U.S. Elections Approach, Zelensky Performs Balancing Act","At the NATO summit, Zelensky sought more aid while acknowledging U.S. political constraints.",https://www.wsj.com/world/as-american-elections-loom-zelensky-plays-balancing-act-a65395fb,TRUE
2025/4/5,Ukraine__ Zelensky Chides U.S. Stance on Russia After 9 Children Killed in Strike,Zelensky criticized the U.S. for its muted reaction to the deadly strike.,https://www.wsj.com/world/europe/ukraines-zelensky-chides-u-s-stance-on-russia-after-9-children-killed-in-strike-9663b230,TRUE
2022/6/27,Zelensky Asks for Western Help to Push Russia Out of Ukraine Before Winter,Zelensky appealed to the G-7 as U.S. pledged more military aid.,https://www.wsj.com/world/europe/g-7-expected-to-adopt-fresh-sanctions-against-russia-11656320252,TRUE
2024/9/26,"Zelensky Presses Case for Missile Strikes, Tries to Patch Up GOP Support",Zelensky seeks U.S. approval to strike military targets deep inside Russia.,https://www.wsj.com/world/biden-directs-billions-more-in-weapons-to-ukraine-ahead-of-zelensky-meeting-eee74bc7,TRUE
2022/12/21,Zelensky Set to Visit Washington on Wednesday,His first trip abroad since Russia__ invasion.,https://www.wsj.com/articles/ukraine-president-volodymyr-zelensky-expected-to-visit-washington-on-wednesday-11671577431,TRUE
2022/3/14,Ukraine__ Zelensky to Press Congress for More Military Gear,White House backs sanctions and aid but rejects Poland__ offer of jets.,https://www.wsj.com/politics/policy/ukraines-president-volodymyr-zelensky-to-address-congress-virtually-11647266912,TRUE
2019/9/25,Trump and Zelensky,The White House provided the transcript.,https://www.wsj.com/articles/trump-and-zelensky-11569453159,TRUE
2024/9/4,"Ukraine__ Zelensky Launches Government Overhaul for Fresh Military, Diplomatic Push",Several ministers resigned as Zelensky reorganizes government for war goals.,https://www.wsj.com/world/ukraines-foreign-minister-resigns-in-government-reshuffle-17769aab,TRUE
2022/6/12,"French, German and Italian Leaders to Meet With Zelensky in Kyiv","Macron, Scholz and Draghi plan trip amid Russia__ advances in eastern Ukraine.",https://www.wsj.com/world/europe/russia-shells-chemical-plant-sheltering-civilians-ukraine-says-11655031115,TRUE
2024/9/29,Zelensky Visited U.S. to Seek War Boost. His Most Important Ally Shrugged.,Ukraine is losing ground and needs more U.S. support.,https://www.wsj.com/world/europe/zelensky-visited-u-s-to-seek-war-boost-his-most-important-ally-shrugged-d7ba76e7,TRUE
2025/3/5,Zelensky Issues a Tacit Apology,Will Trump now take yes for an answer and lift his arms embargo on Kyiv?,https://www.wsj.com/opinion/volodymyr-zelensky-donald-trump-ukraine-deal-minerals-russia-88a3b7c9,TRUE
2023/2/9,Zelensky Calls for More Help for Ukraine in EU Meeting,"President Volodymyr Zelensky took his campaign for more military aid to a summit of European Union leaders, where he also sought to advance Ukraine__ EU membership bid.",https://www.wsj.com/articles/zelensky-calls-for-more-help-for-ukraine-in-eu-meeting-11675950731,TRUE
2023/4/2,Russian Shelling Kills Six in Ukraine as Zelensky Criticizes Moscow__ U.N. Role,"The attack came a day after Russia took the monthlong rotating presidency of the U.N. Security Council, a development Ukraine__ president said harmed the body__ credibility.",https://www.wsj.com/articles/russian-shelling-kills-six-in-ukraine-as-zelensky-criticizes-moscows-u-n-role-fa35e10e,TRUE
2025/7/23,"Ukrainians Ramp Up Protests, as Zelensky Seeks Way Out",Ukraine__ president pledged a new course after protesters criticized his signing of a bill to strip anticorruption agencies of power.,https://www.wsj.com/world/europe/ukrainians-ramp-up-protests-as-zelensky-seeks-way-out-58225744,TRUE
2023/9/20,"Zelensky, Ukraine__ War Messenger, Confronts a More Wary Washington",The Ukrainian president is set to meet U.S. lawmakers for questions about aid and Kyiv__ slow advance against Russian forces.,https://www.wsj.com/politics/national-security/zelensky-ukraines-war-messenger-confronts-a-more-wary-washington-85134d73,TRUE
2024/9/27,Zelensky Blunders Into U.S. Election Politics,The Ukrainian leader hurts his cause by appearing with Democrats alone in Pennsylvania and criticizing JD Vance.,https://www.wsj.com/opinion/volodymyr-zelensky-pennsylvania-jd-vance-donald-trump-kamala-harris-ukraine-russia-6b51cae6,TRUE
2022/4/1,"Churchill, Zelensky and the American Right",The British leader would have appreciated Zelensky__ resistance to Russian aggression.,https://www.wsj.com/opinion/churchill-zelensky-ukraine-invasion-russia-national-nationalist-right-conservatives-gop-brexit-world-war-i-ii-european-union-democracy-nation-state-globalism-nato-11648828870,TRUE
2023/7/2,Ukraine__ Zelensky Says He Will Beat Russia by Holding On to His Humanity,"Zelensky spoke about remaining grounded, projecting strength and refusing talks with Russia.",https://www.wsj.com/world/ukraines-zelensky-seeks-to-stay-strongand-human-5b2608e,TRUE
2023/5/11,Zelensky Urges Caution on Timing of Counteroffensive as Ukraine Advances in Bakhmut,Zelensky said more time was needed before launching a counteroffensive to recapture occupied territory.,https://www.wsj.com/world/zelensky-says-ukraine-needs-more-time-before-launching-counteroffensive-55b36d6d,TRUE
2025/3/1,Trump and Zelensky Both Suffer Setbacks After Oval Office Blowup,"Their public disunity risked emboldening Putin, whose demands remain unacceptable to Kyiv and its allies.",https://www.wsj.com/world/europe/trump-zelensky-ukraine-peace-deal-64d05419,TRUE
2022/7/17,"Zelensky Removes Ukraine__ General Prosecutor, Head of Secret Service",Dismissals came amid allegations of collaboration with Russia inside key offices.,https://www.wsj.com/world/europe/russian-strikes-intensify-as-moscow-aims-to-tighten-grip-on-donbas-11658059249,TRUE
2019/11/15,First Trump-Zelensky Call Shows None of the Pressure of the Second,A transcript shows mostly pleasantries between the leaders__ey evidence in the impeachment inquiry.,https://www.wsj.com/articles/first-trump-zelensky-call-shows-none-of-the-pressure-of-the-second-11573829178,TRUE
2022/12/12,Zelensky and Biden Discuss Ukraine__ Grid as Country Scrambles to Restore Power,"Ukraine rushed to restore power supplies after Russian attacks, while Zelensky spoke with Biden amid diplomacy.",https://www.wsj.com/articles/zelensky-and-biden-discuss-ukraines-grid-as-country-scrambles-to-restore-power-11670848620,TRUE
2022/4/23,"Antony Blinken and Lloyd Austin to Visit Ukraine, President Zelensky Says",Visit would be highest-level appearance by U.S. officials since war began.,https://www.wsj.com/world/europe/zelensky-warns-that-russian-ambitions-dont-end-with-ukraine-11650704243,TRUE
2022/6/1,"Ukraine Won__ Attack Russian Territory, Zelensky Says",Zelensky said long-range weapons wouldn__ lead Ukraine to strike Russia.,https://www.wsj.com/world/europe/ukraines-zelensky-rejects-trading-land-for-peace-with-russia-11654072526,TRUE
2022/12/22,Zelensky Deserves More U.S. Support,The U.S. would be worse off if Putin had conquered Ukraine.,https://www.wsj.com/articles/volodymyr-zelensky-goes-to-washington-ukraine-vladimir-putin-russia-war-biden-administration-11671661698,TRUE
2025/8/19,Putin Calls Zelensky the West__ Illegitimate Puppet. Can He Talk Peace With Him?,Trump seeks to broker talks between Putin and Zelensky to end Europe__ worst war in generations.,https://www.wsj.com/world/putin-zelensky-meeting-challenges-ed44eb54,TRUE